对话ID,用户ID,问题,答案长度,总引用数,已验证,未验证,准确率,未验证的引用1,未验证的引用2,未验证的引用3
35,2,夫妻离婚后财产如何分配,1607,12,12,0,100.0%,,,
34,2,租房合同应该注意什么？,1738,12,6,6,50.0%,《民法典》第703条,《民法典》第705条,《民法典》第712条
33,2,根据上传的法律文件内容，怎么办,1446,9,7,2,77.8%,《刑法》第17条,《刑法》第16条,
33,2,根据上传的法律文件内容，怎么办,2569,27,25,2,92.6%,宪法第37条,《香港国安法》,
33,2,根据上传的法律文件内容，怎么办,1560,11,11,0,100.0%,,,
32,2,根据上传的法律文件内容，怎么办,1768,8,6,2,75.0%,《刑法》第17条,《刑法》第307条,
31,2,根据上传的法律文件内容，怎么办,1972,15,12,3,80.0%,《刑法》第233条,《刑诉法》第34条,《刑法》第307条
30,2,不小心杀人怎么办,2107,18,18,0,100.0%,,,
29,2,根据上传的法律文件内容，怎么处理呢,1481,10,4,6,40.0%,《中华人民共和国刑法》,《刑法》,《刑法》
28,2,根据上传的法律文件内容，怎么办,2138,15,15,0,100.0%,,,
28,2,根据上传的法律文件内容，怎么办,1630,18,18,0,100.0%,,,
26,2,民间借贷的诉讼时效是多久？,845,8,8,0,100.0%,,,
25,2,交通事故责任如何认定？,2198,10,10,0,100.0%,,,
24,2,根据上传的法律文件内容，如何处理,2690,21,21,0,100.0%,,,
24,2,根据上传的法律文件内容，如何处理,2443,19,19,0,100.0%,,,
23,2,租房合同应该注意什么？,2166,26,26,0,100.0%,,,
23,2,租房合同应该注意什么？,1797,12,6,6,50.0%,《民法典》第703条,《民法典》第707条,《民法典》第704条
22,2,民间借贷的诉讼时效是多久？,689,5,5,0,100.0%,,,
21,2,交通事故责任如何认定？,1715,6,6,0,100.0%,,,
20,2,租房合同应该注意什么？,1623,6,5,1,83.3%,《民法典》第705条,,
19,4,劳动合同解除有哪些情形？,2016,10,10,0,100.0%,,,
18,4,交通事故责任如何认定？,2348,13,13,0,100.0%,,,
17,4,民间借贷的诉讼时效是多久？,746,1,1,0,100.0%,,,
16,4,离婚后财产怎么分配,2091,12,12,0,100.0%,,,
14,4,租房合同应该注意什么？,2104,9,8,1,88.9%,《民法典》第713条,,
13,2,根据上传的法律文件内容，怎么办,1921,11,11,0,100.0%,,,
12,2,根据上传的法律文件内容，怎么办,2980,9,9,0,100.0%,,,
12,2,根据上传的法律文件内容，怎么办,3082,12,12,0,100.0%,,,
12,2,根据上传的法律文件内容，怎么办,2876,16,16,0,100.0%,,,
12,2,根据上传的法律文件内容，怎么办,1965,4,0,4,0.0%,《中华人民共和国刑法》,《中华人民共和国刑法》,《刑法》
11,2,租房合同应该注意什么？,2489,14,14,0,100.0%,,,
10,2,交通事故责任如何认定？,2878,7,5,2,71.4%,《道路交通安全法》,《刑法》,
10,2,交通事故责任如何认定？,3084,11,11,0,100.0%,,,
8,2,故意杀人怎么办,3441,15,15,0,100.0%,,,
8,2,故意杀人怎么办,2672,16,16,0,100.0%,,,
8,2,故意杀人怎么办,2569,12,12,0,100.0%,,,
5,2,故意杀人怎么办,2902,17,12,5,70.6%,《刑事诉讼法》,《民法典》,《中华人民共和国民法典》
5,2,故意杀人怎么办,1730,12,12,0,100.0%,,,
4,2,离婚财产如何分割？,2820,3,3,0,100.0%,,,
4,2,离婚财产如何分割？,2429,3,2,1,66.7%,《民法典》第1065条,,
4,2,离婚财产如何分割？,2345,5,5,0,100.0%,,,
4,2,离婚财产如何分割？,3776,4,4,0,100.0%,,,
3,2,被公司辞退怎么赔偿？,2821,9,7,2,77.8%,《民法典》第1087条,《民法典》第1091条,
3,2,被公司辞退怎么赔偿？,2285,11,10,1,90.9%,《电子商务法》,,
3,2,被公司辞退怎么赔偿？,1748,7,7,0,100.0%,,,
3,2,被公司辞退怎么赔偿？,2206,2,0,2,0.0%,《民法典》第543条,《治安管理处罚法》,
3,2,被公司辞退怎么赔偿？,2938,8,7,1,87.5%,《道路交通安全法》,,
3,2,被公司辞退怎么赔偿？,3379,13,9,4,69.2%,《刑法》,《刑法》,《刑法》
3,2,被公司辞退怎么赔偿？,2930,13,13,0,100.0%,,,
2,2,合同违约如何处理？,3722,7,7,0,100.0%,,,
1,2,商家虚假宣传怎么办,2856,10,10,0,100.0%,,,
1,2,商家虚假宣传怎么办,3200,19,19,0,100.0%,,,
1,2,商家虚假宣传怎么办,2922,17,11,6,64.7%,《消法》,《电子商务法》,《消法》
1,2,商家虚假宣传怎么办,2786,9,7,2,77.8%,《刑法》第20条,《刑法》第17条,
1,2,商家虚假宣传怎么办,1707,7,7,0,100.0%,,,
1,2,商家虚假宣传怎么办,3344,9,5,4,55.6%,《电子商务法》第17条,《广告法》第55条,《中华人民共和国广告法》
